CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1410220B, iMAX,2 MB,SEJ,IGNACIO RAMIREZ,MATUTINO,SECUNDARIA,CENTRO,ZAPOPAN,SAN FRANCISCO DE IXCATAN,NI—O HEREOS S/N,45200,-103.3406389,20.8595556,SIN SERVICIO
1410238C, iMAX,2 MB,SEJ,IGNACIO ALLENDE,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DEL RIO,SAN ICOLAS DE LOS ABUNDIS,CONOCIDO SAN ICOLAS DE LOS ABUNDIS,45260,-103.22,20.9233333,SIN SERVICIO
1410247A, iMAX,2 MB,SEJ,JOSE I MANZANO BRISE—O,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,LOS ROBLES,DOMICILIO CONOCIDO,45134,-103.631825,20.717225,SIN SERVICIO
1410277G, iMAX,2 MB,SEJ,JUAN RULFO,MATUTINO,PREESCOLAR,CENTRO,JUANACATLAN,JUANACATLAN,HERRERA Y CAIRO 30,45880,-103.1718028,20.5020889,SIN SERVICIO
1410278K, iMAX,2 MB,SEJ,JOSEFA ORTIZ DE DOMINGUEZ,MATUTINO,PRIMARIA,CENTRO,JUANACATLAN,JUANACATLAN,HIDALGO 20,45880,-103.1700389,20.4991278,SIN SERVICIO
1410279D, iMAX,2 MB,SEJ,CONALEP 131,MATUTINO,PROF. MEDIO,CENTRO,JUANACATLAN,JUANACATLAN,KM 1 CARRETERA EXHACIENDA DE ZAPOTLANEJO ,45880,-103.1693611,20.4956667,SIN SERVICIO
1410280C, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PREESCOLAR,CENTRO,JUANACATLAN,JUANACATLAN,LAZARO CARDENAS 95,45880,-103.1694583,20.5092861,SIN SERVICIO
1410284H, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PRIMARIA,CENTRO,JUANACATLAN,CASA DE TEJA,EMILIANO ZAPATA 23,45880,-103.1351444,20.4569611,SIN SERVICIO
1410285A, iMAX,2 MB,SEJ,JUANA DE ARCO,MATUTINO,PREESCOLAR,CENTRO,JUANACATLAN,CASA DE TEJA,GIGANTES,45880,-103.1351444,20.4569611,SIN SERVICIO
1410287X, iMAX,2 MB,SEJ,JUAN DE LA BARRERA,MATUTINO,PREESCOLAR,CENTRO,JUANACATLAN,SAN ANTONIO JUANACAXTLE,CAMINO AL SEMINARIO 134,45880,-103.1551472,20.5319583,SIN SERVICIO
1410288B, iMAX,2 MB,SEJ,HILARION L RUVALCABA,MATUTINO,PRIMARIA,CENTRO,JUANACATLAN,MIRAFLORES,IRRIGACION 40,45880,-103.1262556,20.413075,SIN SERVICIO
1410290E, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,CENTRO,JUANACATLAN,SAN ISIDRO (EL JABALI),SAN ISIDRO,45895,-103.1190333,20.4452944,SIN SERVICIO
1410291X, iMAX,2 MB,SEJ,ESTEFANIA CASTA—EDA,MATUTINO,PREESCOLAR,CENTRO,JUANACATLAN,EX-HACIENDA DE ZAPOTLANEJO,19 DE DICIEMBRE,45880,-103.1665361,20.4569611,SIN SERVICIO
1410294J, iMAX,2 MB,SEJ,JUAN JOSE MARTINEZ,MATUTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,"CALLE EUPCALITOS S/N, COL LA AZUCENA",45685,-103.2031111,20.5013889,SIN SERVICIO
1410295C, iMAX,2 MB,SEJ,FRANCISCO PRIMO DE VERDAD,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,BELISARIO DOMINGUEZ ENTRE EUCALIPTOS Y HIDALGO ,45680,-103.2913889,20.5552778,SIN SERVICIO
1410296G, iMAX,2 MB,SEJ,FORANEA O. 10,MATUTINO,SECUNDARIA,CENTRO,EL SALTO,EL SALTO,"AVENIDA REVOLUCION , COL POTREROS",45680,-103.1872222,20.5175,SIN SERVICIO
1410299H, iMAX,2 MB,SEJ,MARIA GUADALUPE ORTIZ URIBE,MATUTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,CALLE 50  ,45680,-103.177,20.5165556,SIN SERVICIO
1410301C, iMAX,2 MB,SEJ,HELEN KELLER,VESPERTINO,ESPECIAL,CENTRO,EL SALTO,EL SALTO,CONSTITUCION 383 COL POTRERO UEVO,45680,-103.1880556,20.5172222,SIN SERVICIO
1410310A, iMAX,2 MB,SEJ,BENITO JUAREZ,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,"JUSTO SIERRA 320, COL VILLA DE GUADALUPE",45685,-103.2373333,20.5204444,SIN SERVICIO
1410311E, iMAX,2 MB,SEJ,LEONARDO BRAVO,VESPERTINO,PREESCOLAR,CENTRO,EL SALTO,EL SALTO,JUSTO SIERRA,45685,-103.2375278,20.5203056,SIN SERVICIO
1410321G, iMAX,2 MB,SEJ,IRENE ROBLEDO GARCIA,VESPERTINO,PREESCOLAR,CENTRO,EL SALTO,EL SALTO,SANTA RITA 145,45690,-103.3175,20.5652778,SIN SERVICIO
1410322K, iMAX,2 MB,SEJ,REINO DE HOLANDA,MATUTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,SANTA ROSA ENTRE SAN SANTIAGO Y PRIVADA STA ROSA ,45690,-103.3241667,20.5630556,SIN SERVICIO
